Repository Name,Account / Owner,Full Name,Description,Visibility,Created At,Updated At,Pushed At,Primary Language,Size (KB),Stars,Forks,Is Fork,Parent Repository,GitHub URL,Homepage URL,Connections,Connection Count,Is Cloned,Local Paths,Local Sources,Local Status,Is Out Of Sync,Sync Status
horizon_class,Local Only,local/horizon_class,Local project folder,LOCAL_ONLY,2026-06-25T10:09:03.804255Z,2026-06-17T10:30:26.562818Z,,Markdown,749639,0,0,No,,,,,0,Yes,~/Google_Antigravity/horizon_class,A,Local Folder,No,local_only
skyline-class,falo-taiwan,falo-taiwan/skyline-class,,PUBLIC,2026-06-13T09:03:46Z,2026-06-17T02:30:34Z,2026-06-17T02:30:30Z,HTML,68472,0,0,No,,https://github.com/falo-taiwan/skyline-class,https://falo-taiwan.github.io/skyline-class/,falo-chinese,1,No,,,Remote Only,No,remote_only
Prompt_hub,Local Only,local/Prompt_hub,Local project folder,LOCAL_ONLY,2026-06-25T10:09:07.313312Z,2026-06-17T00:19:26.763988Z,,Markdown,50023,0,0,No,,,,,0,Yes,~/Google_Antigravity/Prompt_hub,A,Local Folder,No,local_only
Test001,Local Only,local/Test001,這是一個給初學者理解「系統負載與程序管理」的小型 GUI 工具。,LOCAL_ONLY,2026-06-25T10:08:39.482263Z,2026-06-16T18:25:42.042060Z,,HTML,163493,0,0,No,,,,,0,Yes,~/AI-CodeX/Test001,C,Local Folder,No,local_only
skyline-class,falo-chinese,falo-chinese/skyline-class,,PUBLIC,2026-06-15T04:19:59Z,2026-06-16T18:04:52Z,2026-06-16T18:04:34Z,HTML,18,0,0,No,,https://github.com/falo-chinese/skyline-class,https://falo-chinese.github.io/skyline-class/,falo-taiwan,1,Yes,~/Google_Antigravity/skyline_class,A,Cloned,Yes,remote_newer
Github_Management,Local Only,local/Github_Management,Local project folder,LOCAL_ONLY,2026-06-25T10:08:57.047588Z,2026-06-16T17:49:29.238486Z,,Markdown,79256,0,0,No,,,,,0,Yes,~/AI-CodeX/Github_Management,C,Local Folder,No,local_only
ai-parser-demo1,falo-chinese,falo-chinese/ai-parser-demo1,Falo AI Parser Demo 1 v1.0 draft GitHub Pages teaching demo,PUBLIC,2026-06-16T09:31:06Z,2026-06-16T09:55:55Z,2026-06-16T09:54:18Z,HTML,14667,0,0,No,,https://github.com/falo-chinese/ai-parser-demo1,https://falo-chinese.github.io/ai-parser-demo1/,falo-taiwan,1,No,,,Remote Only,No,remote_only
ai-parser-demo1,falo-taiwan,falo-taiwan/ai-parser-demo1,Falo AI Parser Demo 1 v1.0 draft GitHub Pages teaching demo,PUBLIC,2026-06-16T08:47:10Z,2026-06-16T09:53:37Z,2026-06-16T09:53:34Z,HTML,89661,0,0,No,,https://github.com/falo-taiwan/ai-parser-demo1,https://falo-taiwan.github.io/ai-parser-demo1/,falo-chinese,1,No,,,Remote Only,No,remote_only
prompt-demo,falo-chinese,falo-chinese/prompt-demo,FALO Prompt Manager v1.01 local-first PWA demo,PUBLIC,2026-06-02T12:37:14Z,2026-06-16T05:14:25Z,2026-06-16T05:14:22Z,HTML,7954,0,0,No,,https://github.com/falo-chinese/prompt-demo,https://falo-chinese.github.io/prompt-demo/,falo-taiwan,1,No,,,Remote Only,No,remote_only
prompt-demo,falo-taiwan,falo-taiwan/prompt-demo,FALO Prompt Manager v1.01 local-first PWA demo,PUBLIC,2026-06-02T11:27:52Z,2026-06-16T05:14:22Z,2026-06-16T05:14:18Z,HTML,18224,0,0,No,,https://github.com/falo-taiwan/prompt-demo,https://falo-taiwan.github.io/prompt-demo/,falo-chinese,1,Yes,~/AI-CodeX/falo-prompt-manager; ~/AI-CodeX/prompt-demo,"C, C",Cloned,Yes,local_newer
ai-finance-demo1,falo-taiwan,falo-taiwan/ai-finance-demo1,這是一個基於 AI 技術的財會自動化概念驗證（POC）儀表板，具體展示並實現了兩大核心場景：,PUBLIC,2026-06-15T15:19:09Z,2026-06-16T04:30:20Z,2026-06-16T04:29:50Z,HTML,69889,0,0,No,,https://github.com/falo-taiwan/ai-finance-demo1,https://falo-taiwan.github.io/ai-finance-demo1/,,0,Yes,~/Google_Antigravity/Walker_ai,A,Cloned,Yes,local_newer
!!Github-Connect!!!,Local Only,local/!!Github-Connect!!!,本文件整合了本機電腦目前配置的 GitHub 憑證、SSH 通道設定，以及針對 `falo-taiwan` 與 `falo-chinese` 兩個帳戶的專案連結與未來自動部署方法。,LOCAL_ONLY,2026-06-25T10:09:06.952620Z,2026-06-15T23:21:49.347746Z,,Markdown,5,0,0,No,,,,,0,Yes,~/Google_Antigravity/!!Github-Connect!!!,A,Local Folder,No,local_only
Google_Antigravity,Local Only,local/Google_Antigravity,Local project folder,LOCAL_ONLY,2026-06-25T10:08:27.000739Z,2026-06-15T22:53:18.720796Z,,Python,11771,0,0,No,,,,,0,Yes,~/AI-CodeX/Google_Antigravity,C,Local Folder,No,local_only
harizon-class,Local Only,local/harizon-class,Local project folder,LOCAL_ONLY,2026-06-25T10:09:06.719025Z,2026-06-15T21:14:12.880271Z,,Markdown,2,0,0,No,,,,,0,Yes,~/AI-CodeX/harizon-class,C,Local Folder,No,local_only
antigravity_start,Local Only,local/antigravity_start,歡迎來到 **Class 02 — 企業知識資產化** 專屬學習沙盒！本專案專為台灣中小企業（SME）與一人公司/部門（OPC）量身打造，致力於打破「AI 等於複雜程式碼」的刻板印象，協助企業將日常零散的檔案，轉化為**可查詢、可產出、可管理**的核心知識資產。,LOCAL_ONLY,2026-06-25T10:09:02.778930Z,2026-06-15T14:27:46.116300Z,,Markdown,33866,0,0,No,,,,,0,Yes,~/Google_Antigravity/antigravity_start,A,Local Folder,No,local_only
backup,Local Only,local/backup,Local project folder,LOCAL_ONLY,2026-06-25T10:09:02.759385Z,2026-06-15T14:26:51.163848Z,,,13725,0,0,No,,,,,0,Yes,~/Google_Antigravity/backup,A,Local Folder,No,local_only
ai-ocr-demo,falo-chinese,falo-chinese/ai-ocr-demo,,PUBLIC,2026-06-02T12:37:12Z,2026-06-15T13:12:43Z,2026-06-15T13:12:25Z,HTML,102,0,0,No,,https://github.com/falo-chinese/ai-ocr-demo,https://falo-chinese.github.io/ai-ocr-demo/,falo-taiwan,1,No,,,Remote Only,No,remote_only
falo-mini-station,Local Only,local/falo-mini-station,FALO Mini Station 是專為 AI 時代打造的**迷你工作站（Mini Workstation）**，同時也是 FALO 生態系的**資訊轉運站（Information Hub）**。它的核心任務是讓使用者的任何碎片化資訊，都能在數秒內完成收集、整理、轉送與保存，無縫流入 FAL...,LOCAL_ONLY,2026-06-25T10:09:02.762829Z,2026-06-15T12:29:55.629627Z,,HTML,439,0,0,No,,,,,0,Yes,~/Google_Antigravity/falo-mini-station,A,Local Folder,No,local_only
AI_Cosplay,Local Only,local/AI_Cosplay,Local project folder,LOCAL_ONLY,2026-06-25T10:09:05.764008Z,2026-06-15T11:26:45.053405Z,,Markdown,6477,0,0,No,,,,,0,Yes,~/Google_Antigravity/AI_Cosplay,A,Local Folder,No,local_only
ai-notebooklm,falo-taiwan,falo-taiwan/ai-notebooklm,這是一個整合 **地端 Python 伺服器 (Runtime Server)**、**前端操作面板 (Portal)**、**Google Apps Script (GAS) 雲端派工** 以及 **Excel 資料審計 (ETL/Audit)** 的完整教學展示專案。,PUBLIC,2026-06-14T15:45:02Z,2026-06-15T10:23:49Z,2026-06-15T10:23:45Z,HTML,1430729,0,0,No,,https://github.com/falo-taiwan/ai-notebooklm,https://falo-taiwan.github.io/ai-notebooklm/,falo-chinese,1,Yes,~/Google_Antigravity/AI_NotebookLM,A,Cloned,Yes,local_newer
video-analysis-optimization,falo-taiwan,falo-taiwan/video-analysis-optimization,本專案提供了一個使用 Google Gemini 1.5 家族進行影片多模態分析的測試腳本。,PUBLIC,2026-06-15T07:36:22Z,2026-06-15T07:48:33Z,2026-06-15T07:48:29Z,HTML,6365,0,0,No,,https://github.com/falo-taiwan/video-analysis-optimization,https://falo-taiwan.github.io/video-analysis-optimization/,,0,Yes,~/Google_Antigravity/video-analyze,A,Cloned,No,synced
content-cipher-lab,falo-taiwan,falo-taiwan/content-cipher-lab,[![FALO Content Cipher Lab Framework Diagram](assets/images/falo_cipher_lab_framework.png)](assets/images/falo_cipher_lab_framework.png),PUBLIC,2026-06-15T02:57:43Z,2026-06-15T04:01:09Z,2026-06-15T04:01:05Z,HTML,5546,0,0,No,,https://github.com/falo-taiwan/content-cipher-lab,https://falo-taiwan.github.io/content-cipher-lab/,,0,Yes,~/Google_Antigravity/password,A,Cloned,No,synced
good-repo-hung-yi-lee-skill,falo-taiwan,falo-taiwan/good-repo-hung-yi-lee-skill,,PUBLIC,2026-06-15T01:56:14Z,2026-06-15T02:05:41Z,2026-06-15T02:05:38Z,HTML,2353,0,0,No,,https://github.com/falo-taiwan/good-repo-hung-yi-lee-skill,https://falo-taiwan.github.io/good-repo-hung-yi-lee-skill/,,0,No,,,Remote Only,No,remote_only
good-repo,falo-taiwan,falo-taiwan/good-repo,,PUBLIC,2026-06-15T01:56:29Z,2026-06-15T01:56:35Z,2026-06-15T01:56:32Z,HTML,4,0,0,No,,https://github.com/falo-taiwan/good-repo,https://falo-taiwan.github.io/good-repo/,,0,No,,,Remote Only,No,remote_only
falo-ai-resource-pool,Local Only,local/falo-ai-resource-pool,簡稱：FARP,LOCAL_ONLY,2026-06-25T10:09:03.780975Z,2026-06-13T20:20:10.941022Z,,Markdown,34,0,0,No,,,,,0,Yes,~/AI-CodeX/falo-ai-resource-pool,C,Local Folder,No,local_only
github-connect-research,Local Only,local/github-connect-research,本專案的核心目標**不是**單純的 GitHub 教學，也不是一般的 AI 工具評測排行榜，而是探索與研究 AI 時代下的「Git 與知識架構協作」。,LOCAL_ONLY,2026-06-25T10:09:03.754764Z,2026-06-13T20:20:05.929881Z,,Markdown,683,0,0,No,,,,,0,Yes,~/AI-CodeX/github-connect-research,C,Local Folder,No,local_only
falo-force-web,Local Only,local/falo-force-web,Local project folder,LOCAL_ONLY,2026-06-25T10:09:02.309914Z,2026-06-13T10:03:55.590297Z,,Markdown,3171,0,0,No,,,,,0,Yes,~/AI-CodeX/falo-force-web,C,Local Folder,No,local_only
Falo_ModelBox,Local Only,local/Falo_ModelBox,公開識別：Falo x Force Cheng,LOCAL_ONLY,2026-06-25T10:08:27.240352Z,2026-06-13T10:03:55.587277Z,,HTML,1199919,0,0,No,,,,,0,Yes,~/AI-CodeX/Falo_ModelBox,C,Local Folder,No,local_only
attn-class3-book,Local Only,local/attn-class3-book,Local project folder,LOCAL_ONLY,2026-06-25T10:09:02.666043Z,2026-06-13T10:01:33.112044Z,,HTML,8941,0,0,No,,,,,0,Yes,~/AI-CodeX/attn-class3-book,C,Local Folder,No,local_only
gemini_chrome,falo-taiwan,falo-taiwan/gemini_chrome,,PUBLIC,2026-04-23T05:39:46Z,2026-06-13T02:37:47Z,2026-06-13T02:37:44Z,HTML,2892,0,0,No,,https://github.com/falo-taiwan/gemini_chrome,https://falo-taiwan.github.io/gemini_chrome/,,0,No,,,Remote Only,No,remote_only
codex_ipas_school,Local Only,local/codex_ipas_school,這個專案是為「iPAS AI 應用規劃師」課程設計的 Learning OS x CM 教學系統原型。,LOCAL_ONLY,2026-06-25T10:08:39.491506Z,2026-06-13T01:33:51.857193Z,,Markdown,11848,0,0,No,,,,,0,Yes,~/AI-CodeX/codex_ipas_school,C,Local Folder,No,local_only
erp-demo,falo-taiwan,falo-taiwan/erp-demo,天心 ERP 系統資料庫雙檢視與說明書手冊預覽網站,PUBLIC,2026-06-10T23:05:09Z,2026-06-10T23:05:51Z,2026-06-10T23:05:33Z,HTML,42542,0,0,No,,https://github.com/falo-taiwan/erp-demo,https://falo-taiwan.github.io/erp-demo/,,0,No,,,Remote Only,No,remote_only
gas-demo,falo-chinese,falo-chinese/gas-demo,,PUBLIC,2026-06-10T14:00:57Z,2026-06-10T14:03:46Z,2026-06-10T14:01:09Z,HTML,4539,0,0,No,,https://github.com/falo-chinese/gas-demo,https://falo-chinese.github.io/gas-demo/,falo-taiwan,1,No,,,Remote Only,No,remote_only
antigravity,falo-chinese,falo-chinese/antigravity,,PUBLIC,2026-06-10T13:58:12Z,2026-06-10T13:58:57Z,2026-06-10T13:58:22Z,HTML,2779,0,0,No,,https://github.com/falo-chinese/antigravity,https://falo-chinese.github.io/antigravity/,falo-taiwan,1,No,,,Remote Only,No,remote_only
ig,falo-taiwan,falo-taiwan/ig,本專案是一個 Instagram 網頁版影片控制 Chrome 外掛程式。以下是手動載入與安裝至 Chrome 瀏覽器的步驟。,PUBLIC,2026-06-08T14:33:03Z,2026-06-10T11:03:03Z,2026-06-10T11:02:59Z,HTML,2311,0,0,No,,https://github.com/falo-taiwan/ig,https://falo-taiwan.github.io/ig/,,0,Yes,~/Google_Antigravity/test-case,A,Cloned,Yes,local_newer
gas-demo,falo-taiwan,falo-taiwan/gas-demo,Google Apps Script Demo Repository,PUBLIC,2026-06-10T06:46:54Z,2026-06-10T09:54:36Z,2026-06-10T09:54:20Z,HTML,4540,0,0,No,,https://github.com/falo-taiwan/gas-demo,https://falo-taiwan.github.io/gas-demo/,falo-chinese,1,No,,,Remote Only,No,remote_only
antigravity,falo-taiwan,falo-taiwan/antigravity,Antigravity generated documentation repository,PUBLIC,2026-06-10T03:48:07Z,2026-06-10T03:54:14Z,2026-06-10T03:54:11Z,HTML,2912,0,0,No,,https://github.com/falo-taiwan/antigravity,https://falo-taiwan.github.io/antigravity/,falo-chinese,1,No,,,Remote Only,No,remote_only
Force_personal,Local Only,local/Force_personal,Local project folder,LOCAL_ONLY,2026-06-25T10:09:03.567140Z,2026-06-08T14:06:33.257766Z,,HTML,23,0,0,No,,,,,0,Yes,~/Google_Antigravity/Force_personal,A,Local Folder,No,local_only
computer-use,falo-taiwan,falo-taiwan/computer-use,,PUBLIC,2026-06-08T07:23:08Z,2026-06-08T08:48:17Z,2026-06-08T08:48:13Z,HTML,50,0,0,No,,https://github.com/falo-taiwan/computer-use,https://falo-taiwan.github.io/computer-use/,,0,No,,,Remote Only,No,remote_only
demo,falo-taiwan,falo-taiwan/demo,,PUBLIC,2026-03-10T04:40:15Z,2026-06-08T03:07:35Z,2026-06-08T03:07:31Z,HTML,3740,0,0,No,,https://github.com/falo-taiwan/demo,https://falo-taiwan.github.io/demo/,,0,No,,,Remote Only,No,remote_only
ai-choose,falo-taiwan,falo-taiwan/ai-choose,,PUBLIC,2026-05-31T10:34:49Z,2026-06-08T03:07:28Z,2026-06-08T03:07:25Z,HTML,1701,0,0,No,,https://github.com/falo-taiwan/ai-choose,https://falo-taiwan.github.io/ai-choose/,,0,No,,,Remote Only,No,remote_only
falo-mini-station-sxf-review,Local Only,local/falo-mini-station-sxf-review,Local project folder,LOCAL_ONLY,2026-06-25T10:09:02.333666Z,2026-06-06T19:28:46.813851Z,,Markdown,50,0,0,No,,,,,0,Yes,~/AI-CodeX/falo-mini-station-sxf-review,C,Local Folder,No,local_only
falo-mini-station,Local Only,local/falo-mini-station,Local project folder,LOCAL_ONLY,2026-06-25T10:09:02.331928Z,2026-06-06T19:11:38.136527Z,,,0,0,0,No,,,,,0,Yes,~/AI-CodeX/falo-mini-station,C,Local Folder,No,local_only
ipas-aiap,falo-chinese,falo-chinese/ipas-aiap,iPAS AIAP learning and exam support tools,PUBLIC,2026-06-06T08:44:45Z,2026-06-06T08:45:11Z,2026-06-06T08:45:05Z,HTML,5323,0,0,No,,https://github.com/falo-chinese/ipas-aiap,https://falo-chinese.github.io/ipas-aiap/,falo-taiwan,1,No,,,Remote Only,No,remote_only
gemini_chrome_demo,falo-taiwan,falo-taiwan/gemini_chrome_demo,,PUBLIC,2026-06-03T02:47:15Z,2026-06-03T02:48:19Z,2026-06-03T02:48:16Z,HTML,13,0,0,No,,https://github.com/falo-taiwan/gemini_chrome_demo,https://falo-taiwan.github.io/gemini_chrome_demo/,,0,No,,,Remote Only,No,remote_only
AI_Mesh_system,Local Only,local/AI_Mesh_system,這是一個用來驗證 **AI-native Event Coordination Mesh** 的極簡 prototype。,LOCAL_ONLY,2026-06-25T10:08:58.239884Z,2026-06-02T21:39:52.580259Z,,Markdown,1758,0,0,No,,,,,0,Yes,~/AI-CodeX/AI_Mesh_system,C,Local Folder,No,local_only
gas_temp_data_center,Local Only,local/gas_temp_data_center,C4E 這一版先不做完整平台。它只做一件事：,LOCAL_ONLY,2026-06-25T10:09:00.604877Z,2026-06-02T21:39:52.577920Z,,Markdown,211,0,0,No,,,,,0,Yes,~/AI-CodeX/gas_temp_data_center,C,Local Folder,No,local_only
ngrok_manager,Local Only,local/ngrok_manager,獨立本地工具，用 GUI 啟動、管理、紀錄 ngrok tunnel。,LOCAL_ONLY,2026-06-25T10:09:00.214462Z,2026-06-02T21:39:52.577069Z,,Python,29712,0,0,No,,,,,0,Yes,~/AI-CodeX/ngrok_manager,C,Local Folder,No,local_only
NewsOps_QClaw_Stable,Local Only,local/NewsOps_QClaw_Stable,Force Cheng x Falo,LOCAL_ONLY,2026-06-25T10:08:26.280019Z,2026-06-02T21:39:47.553122Z,,HTML,90794,0,0,No,,,,,0,Yes,~/AI-CodeX/NewsOps_QClaw_Stable,C,Local Folder,No,local_only
Agent_news,Local Only,local/Agent_news,This repository documents a real-world teaching case about Chrome Gemini / Glic visibility behavior.,LOCAL_ONLY,2026-06-25T10:08:38.443401Z,2026-06-02T21:39:47.547597Z,,Markdown,15161,0,0,No,,,,,0,Yes,~/AI-CodeX/Agent_news,C,Local Folder,No,local_only
AI_WWW,Local Only,local/AI_WWW,Force Cheng x Falo,LOCAL_ONLY,2026-06-25T10:08:27.172542Z,2026-06-02T21:39:47.526872Z,,JavaScript,215564,0,0,No,,,,,0,Yes,~/AI-CodeX/AI_WWW,C,Local Folder,No,local_only
AI-ERP,Local Only,local/AI-ERP,Local project folder,LOCAL_ONLY,2026-06-25T10:09:00.779949Z,2026-06-02T21:39:47.502091Z,,Markdown,22930,0,0,No,,,,,0,Yes,~/AI-CodeX/AI-ERP,C,Local Folder,No,local_only
Research,Local Only,local/Research,Local project folder,LOCAL_ONLY,2026-06-25T10:08:46.086372Z,2026-06-02T21:39:47.483609Z,,Markdown,2827,0,0,No,,,,,0,Yes,~/AI-CodeX/Research,C,Local Folder,No,local_only
PECB_42001,Local Only,local/PECB_42001,Local Git repository (No remote),LOCAL_ONLY,2026-06-25T10:08:39.600811Z,2026-06-02T21:39:47.459365Z,,Python,836854,0,0,No,,,,,0,Yes,~/AI-CodeX/PECB_42001,C,Local Git,No,local_only
kerwin-notebooklm,Local Only,local/kerwin-notebooklm,Local project folder,LOCAL_ONLY,2026-06-25T10:09:03.567638Z,2026-06-02T21:39:47.420332Z,,Python,1107,0,0,No,,,,,0,Yes,~/Google_Antigravity/kerwin-notebooklm,A,Local Folder,No,local_only
MCP_Project,Local Only,local/MCP_Project,這個小專案的目標不是一次做到完美印刷檔，而是練習兩件事：,LOCAL_ONLY,2026-06-25T10:08:56.864197Z,2026-06-02T21:39:47.406205Z,,Markdown,18,0,0,No,,,,,0,Yes,~/AI-CodeX/MCP_Project,C,Local Folder,No,local_only
ai-ocr-demo,falo-taiwan,falo-taiwan/ai-ocr-demo,FALO OCR Workbench v1.02 是一個獨立的、具備離線快取支援的 PWA 智能文字辨識與比對工具。,PUBLIC,2026-06-02T08:53:27Z,2026-06-02T14:53:44Z,2026-06-02T14:44:26Z,HTML,172,0,0,No,,https://github.com/falo-taiwan/ai-ocr-demo,https://falo-taiwan.github.io/ai-ocr-demo/,falo-chinese,1,Yes,~/Google_Antigravity/ai-ocr-demo,A,Cloned,No,synced
fly-window,falo-chinese,falo-chinese/fly-window,Fly Window v1.01 - floating utility window component for OCR inspection and teaching workflows,PUBLIC,2026-06-02T14:40:24Z,2026-06-02T14:48:51Z,2026-06-02T14:40:28Z,HTML,9,0,0,No,,https://github.com/falo-chinese/fly-window,https://falo-chinese.github.io/fly-window/,falo-taiwan,1,No,,,Remote Only,No,remote_only
fly-window,falo-taiwan,falo-taiwan/fly-window,Fly Window v1.01 - floating utility window component for OCR inspection and teaching workflows,PUBLIC,2026-06-02T14:39:42Z,2026-06-02T14:46:49Z,2026-06-02T14:39:46Z,HTML,57,0,0,No,,https://github.com/falo-taiwan/fly-window,https://falo-taiwan.github.io/fly-window/,falo-chinese,1,Yes,~/AI-CodeX/fly-window,C,Cloned,Yes,local_newer
ai-ocr,falo-taiwan,falo-taiwan/ai-ocr,企業級 AI 能力服務治理平台展示與互動式主控台。本專案以 **OCR** 作為首發能力卡（Capability Card #1），具體呈現 FALO 作為 AI Runtime 治理中台的戰略價值。,PUBLIC,2026-06-02T06:07:45Z,2026-06-02T06:58:23Z,2026-06-02T06:58:19Z,HTML,1605,0,0,No,,https://github.com/falo-taiwan/ai-ocr,https://falo-taiwan.github.io/ai-ocr/,,0,Yes,~/Google_Antigravity/ai_ocr; ~/AI-CodeX/ai-ocr,"A, C",Cloned,Yes,local_newer
demo-scroll-restore-ux,falo-taiwan,falo-taiwan/demo-scroll-restore-ux,Falo x Force 2026/6/1 Scroll Restore UX demo for long governance documents,PUBLIC,2026-06-01T11:10:55Z,2026-06-01T11:11:03Z,2026-06-01T11:10:59Z,HTML,10,0,0,No,,https://github.com/falo-taiwan/demo-scroll-restore-ux,https://falo-taiwan.github.io/demo-scroll-restore-ux/,,0,No,,,Remote Only,No,remote_only
